Наименование,Ссылка,Пол,Вес,Год рождения,Возрастная группа,Продавец,Стоимость,Количество,Гены
Banana Butter Woma Pinstripe PastelBall Python,https://www.morphmarket.com/gb/c/reptiles/pythons/ball-pythons/1167640,male,,                            2022                    ,                    B            , HSE ,£195,        1    ,"['Banana', 'Butter', 'Pastel', 'Pinstripe', 'Woma']"
Banana PastelBall Python,https://www.morphmarket.com/gb/c/reptiles/pythons/ball-pythons/1167635,male,,                            2022                    ,                    B            , HSE ,£95,        1    ,"['Banana', 'Pastel']"
FireflyBall Python,https://www.morphmarket.com/gb/c/reptiles/pythons/ball-pythons/1167628,male,,                            2022                    ,                    B            , HSE ,£75,        1    ,"['Fire', 'Pastel']"
Banana PinstripeBall Python,https://www.morphmarket.com/gb/c/reptiles/pythons/ball-pythons/1167621,male,,                            2022                    ,                    B            , HSE ,£95,        1    ,"['Banana', 'Pinstripe']"
Confusion FireBall Python,https://www.morphmarket.com/gb/c/reptiles/pythons/ball-pythons/1167615,male,,                            2022                    ,                    B            , HSE ,£795,        1    ,"['Fire', 'Confusion']"
PastelBall Python,https://www.morphmarket.com/gb/c/reptiles/pythons/ball-pythons/1167611,female,,                            2022                    ,                    B            , HSE ,£45,        1    ,['Pastel']
Butter PastelBall Python,https://www.morphmarket.com/gb/c/reptiles/pythons/ball-pythons/1167606,female,,                            2022                    ,                    B            , HSE ,£95,        1    ,"['Butter', 'Pastel']"
Pinstripe WomaBall Python,https://www.morphmarket.com/gb/c/reptiles/pythons/ball-pythons/1167593,female,,                            2022                    ,                    B            , HSE ,£95,        1    ,"['Pinstripe', 'Woma']"
Pinstripe Woma PastelBall Python,https://www.morphmarket.com/gb/c/reptiles/pythons/ball-pythons/1167589,female,,                            2022                    ,                    B            , HSE ,£125,        1    ,"['Pastel', 'Pinstripe', 'Woma']"
Confusion FireflyBall Python,https://www.morphmarket.com/gb/c/reptiles/pythons/ball-pythons/1124292,male,,                            2022                    ,                    B            , HSE ,£795,        1    ,"['Fire', 'Pastel', 'Confusion']"
Confusion FireBall Python,https://www.morphmarket.com/gb/c/reptiles/pythons/ball-pythons/1124271,female,,                            2022                    ,                    B            , HSE ,£795,        1    ,"['Fire', 'Confusion']"
Pied 100% Het Lavender Albino / Dreamsicle (JKR Line)Ball Python,https://www.morphmarket.com/gb/c/reptiles/pythons/ball-pythons/1124048,male,,                            2022                    ,                    B            , HSE ,£495,        1    ,"['100% Het Lavender Albino', 'Piebald']"
Blackhead Het Pied Pos Het Desert GhostBall Python,https://www.morphmarket.com/gb/c/reptiles/pythons/ball-pythons/1285913,female,        95g    ,                            2022                    ,                    B            , The Cave ,£420,        1    ,"['Black Head', 'Pos Het Desert Ghost', '100% Het Piebald']"
Clown Dbl Het Desert Ghost Hypo (Pair)Ball Python,https://www.morphmarket.com/nl/c/reptiles/pythons/ball-pythons/1285834,female,,                            2022                    ,                    B            , MS ,"€9,500",        1    ,"['Clown', '100% Het Desert Ghost', '100% Het Hypo']"
Pinstripe Ghost PiebaldBall Python,https://www.morphmarket.com/de/c/reptiles/pythons/ball-pythons/953181,female,        230g    ,                            2022 Mar                    ,                    B            , MMJ ,€800,        1    ,"['Pinstripe', 'Hypo', 'Piebald']"
Dbl.het.Ultramel & Pied Poss.het.HypoBall Python,https://www.morphmarket.com/de/c/reptiles/pythons/ball-pythons/1071188,female,,                            2022                    ,                    B            , X-ITE ,€300,        1    ,"['Pos Het Hypo', '100% Het Piebald', '100% Het Ultramel']"
Dbl.het.Ultramel & Pied Poss.het.HypoBall Python,https://www.morphmarket.com/de/c/reptiles/pythons/ball-pythons/1071190,female,,                            2022                    ,                    B            , X-ITE ,€300,        1    ,"['Pos Het Hypo', '100% Het Piebald', '100% Het Ultramel']"
PIEBALD 100%het.ClownBall Python,https://www.morphmarket.com/de/c/reptiles/pythons/ball-pythons/1084822,female,        100g    ,                            2022 Jun                    ,                    B            , AS König CLOWN ,€800,        1    ,"['100% Het Clown', 'Piebald']"
1:2 Group 66% Lavender AlbinoBall Python,https://www.morphmarket.com/gb/c/reptiles/pythons/ball-pythons/1285794,unknown sex,        185g    ,                            2022 Jul                    ,                    B            , Devalyn Pythons ,£75,        1    ,"['Pastel', '66% Het Lavender Albino']"
Pastel Het Axanthic Tsk ParadoxBall Python,https://www.morphmarket.com/de/c/reptiles/pythons/ball-pythons/1285819,unknown sex,        1800g    ,,                    A            , Waidler Balls ,€450,        1    ,"['Lesser', 'Pastel', 'Pinstripe', '100% Het Axanthic (TSK)']"
LeopardBall Python,https://www.morphmarket.com/gb/c/reptiles/pythons/ball-pythons/1173397,female,,,                    A            , Royals Evolutio ,£300,        1    ,['Leopard']
